final_x, final_y, final_z, guessed_x, guessed_y, guessed_z
-0.097522, -0.080700, -0.237629, -0.244006, -0.083635, -0.199837
-0.105176, -0.069923, -0.242744, -0.272937, -0.074941, -0.227266
-0.112996, -0.062831, -0.246460, -0.262340, -0.063711, -0.201463
-0.116064, -0.060759, -0.249749, -0.264527, -0.061006, -0.206372
-0.116037, -0.061963, -0.254056, -0.265198, -0.058650, -0.209903
-0.115514, -0.063956, -0.255628, -0.281781, -0.062580, -0.224336
-0.114115, -0.066337, -0.255269, -0.283342, -0.069683, -0.238481
-0.109857, -0.071221, -0.254428, -0.278754, -0.076306, -0.232710
-0.102592, -0.075404, -0.254037, -0.261782, -0.081986, -0.232171
-0.095676, -0.080379, -0.254580, -0.240236, -0.081191, -0.213554
-0.092025, -0.088167, -0.243805, -0.242203, -0.090518, -0.209233
-0.087581, -0.091665, -0.234676, -0.243507, -0.097084, -0.206560
-0.080766, -0.092996, -0.222817, -0.231817, -0.099621, -0.189910
-0.073405, -0.096278, -0.216488, -0.213119, -0.094313, -0.175809
-0.070658, -0.098783, -0.211884, -0.211261, -0.092939, -0.170075
-0.070679, -0.096053, -0.203593, -0.205978, -0.082568, -0.150436
-0.074995, -0.089604, -0.197729, -0.218117, -0.082617, -0.148203
-0.076294, -0.078828, -0.189211, -0.227416, -0.076649, -0.145923
-0.075494, -0.066699, -0.175678, -0.223555, -0.065133, -0.131448
-0.078465, -0.052131, -0.169992, -0.239896, -0.054394, -0.145793
-0.081480, -0.037985, -0.156546, -0.256408, -0.038639, -0.137913
-0.105960, -0.045607, -0.160339, -0.307725, -0.038762, -0.159043
-0.103950, -0.037922, -0.219111, -0.106353, -0.037717, -0.219088
-0.103295, -0.036548, -0.225167, -0.110944, -0.032582, -0.239918
-0.095419, -0.032692, -0.236114, -0.294147, -0.027874, -0.248217
-0.091189, -0.030001, -0.245774, -0.292604, -0.032391, -0.261593
-0.084883, -0.032171, -0.254571, -0.268909, -0.034754, -0.251526
-0.077221, -0.032713, -0.263098, -0.240160, -0.032797, -0.260038
-0.074816, -0.037202, -0.267618, -0.232946, -0.041453, -0.265520
-0.070532, -0.041183, -0.269220, -0.215573, -0.045870, -0.230733
-0.065376, -0.048808, -0.271106, -0.209810, -0.056955, -0.244057
-0.064524, -0.062643, -0.271764, -0.203866, -0.071304, -0.234189
-0.066661, -0.076441, -0.267532, -0.234973, -0.087557, -0.249862
-0.067577, -0.084213, -0.264240, -0.239599, -0.096437, -0.259057
-0.068303, -0.090366, -0.260347, -0.228591, -0.100535, -0.245638
-0.067994, -0.094415, -0.256362, -0.214322, -0.094901, -0.218472
-0.067162, -0.096226, -0.253499, -0.216756, -0.093276, -0.211312
-0.066232, -0.099471, -0.251852, -0.215814, -0.090348, -0.197444
-0.062962, -0.097617, -0.247832, -0.215997, -0.086900, -0.193623
-0.070099, -0.092540, -0.243236, -0.223430, -0.079724, -0.190630
-0.080424, -0.082479, -0.235179, -0.224458, -0.074445, -0.185298
-0.084954, -0.074345, -0.223613, -0.226959, -0.070921, -0.169706
-0.083785, -0.062665, -0.217305, -0.251275, -0.055033, -0.179168
-0.092824, -0.058193, -0.218282, -0.264169, -0.055990, -0.186137
-0.092768, -0.050972, -0.223292, -0.264654, -0.050407, -0.194191
-0.091721, -0.044915, -0.225636, -0.251014, -0.042367, -0.183038
-0.091789, -0.041176, -0.230567, -0.251823, -0.036973, -0.193448
-0.091793, -0.038048, -0.234976, -0.248765, -0.035207, -0.201081
-0.089778, -0.039398, -0.238711, -0.258208, -0.039042, -0.215633
-0.089137, -0.042747, -0.243874, -0.257160, -0.043149, -0.218884
-0.090080, -0.047894, -0.249832, -0.254904, -0.049781, -0.222643
-0.085536, -0.055072, -0.254962, -0.256905, -0.054398, -0.224063
-0.081217, -0.062493, -0.260848, -0.236985, -0.057717, -0.223395
-0.081553, -0.073859, -0.262933, -0.209560, -0.063453, -0.196512
-0.078296, -0.081328, -0.264626, -0.212241, -0.070370, -0.207816
-0.073861, -0.090084, -0.272381, -0.192728, -0.072034, -0.195697
-0.078643, -0.096651, -0.268436, -0.238793, -0.097649, -0.238790
-0.082236, -0.100149, -0.259998, -0.242348, -0.106214, -0.235016
-0.081442, -0.103653, -0.254277, -0.233916, -0.103138, -0.217089
-0.077874, -0.104761, -0.248334, -0.229666, -0.099004, -0.198423
-0.079880, -0.105700, -0.243898, -0.231451, -0.107189, -0.196332
-0.073904, -0.100133, -0.231968, -0.226947, -0.093645, -0.175199
-0.075965, -0.096869, -0.230078, -0.215561, -0.077465, -0.168609
-0.087832, -0.081612, -0.223615, -0.231869, -0.075342, -0.177124
-0.095977, -0.072424, -0.219534, -0.254681, -0.064255, -0.171229
-0.097114, -0.062246, -0.213927, -0.284555, -0.047304, -0.170275
-0.102608, -0.055173, -0.208905, -0.307881, -0.060197, -0.193043
-0.103292, -0.046018, -0.203477, -0.271843, -0.045172, -0.170885
-0.105254, -0.036542, -0.204975, -0.262288, -0.035852, -0.167028
-0.106609, -0.031177, -0.210297, -0.257781, -0.030130, -0.172321
-0.107391, -0.025122, -0.218102, -0.260115, -0.024635, -0.180035
-0.106977, -0.025301, -0.224078, -0.275761, -0.025733, -0.201810
-0.103077, -0.027559, -0.230939, -0.287694, -0.027968, -0.225586
-0.101444, -0.030706, -0.238794, -0.276949, -0.030096, -0.217722
-0.098661, -0.039710, -0.247507, -0.252984, -0.035900, -0.207126
-0.092160, -0.045937, -0.257344, -0.246173, -0.042921, -0.217955
-0.091431, -0.053155, -0.260377, -0.242825, -0.050645, -0.227932
-0.090299, -0.063713, -0.262333, -0.244566, -0.065804, -0.238274
-0.090081, -0.073251, -0.266506, -0.259860, -0.084743, -0.271593
-0.087363, -0.080537, -0.265735, -0.275485, -0.099464, -0.279314
-0.084319, -0.090888, -0.264092, -0.264913, -0.109090, -0.269302
-0.081075, -0.098354, -0.260715, -0.251677, -0.113029, -0.253607
-0.077504, -0.108279, -0.258938, -0.229959, -0.109114, -0.225253
-0.076894, -0.112982, -0.257731, -0.230425, -0.111520, -0.220192
-0.077437, -0.114333, -0.254834, -0.216604, -0.104562, -0.205511
-0.081021, -0.111800, -0.247383, -0.229448, -0.102873, -0.197396
-0.081228, -0.106400, -0.235734, -0.233668, -0.094847, -0.183884
-0.081487, -0.101376, -0.223323, -0.229500, -0.085712, -0.167409
-0.079864, -0.087701, -0.211532, -0.245265, -0.092637, -0.167920
